1466G, Song of the Sirens, combinatorics divide and conquer hashing math string suffix structures strings, , 2600, x579, 
1466F, Euclid's nightmare, bitmasks dfs and similar dsu graphs greedy math sortings, , 2100, x2274, 
1466E, Apollo versus Pan, bitmasks brute force math, , 1800, x4931, 
1466D, 13th Labour of Heracles, data structures greedy sortings trees, , 1500, x8032, 
1466C, Canine poetry, dp greedy strings, , 1300, x11957, 
1466B, Last minute enhancements, dp greedy, , 800, x17141, 
1466A, Bovine Dilemma, brute force geometry math, , 800, x18461, 
1464F, My Beautiful Madness, data structures trees, , 3500, x49, 
1463F, Max Correct Set, bitmasks dp math, , 3100, x167, 
1463E, Plan of Lectures, constructive algorithms dfs and similar dsu graphs implementation sortings trees, , 2400, x927, 
1463D, Pairs, binary search constructive algorithms greedy two pointers, , 1900, x2903, 
1463C, Busy Robot, implementation, , 1800, x3935, 
1463B, Find The Array, bitmasks constructive algorithms greedy, , 1400, x10432, 
1463A, Dungeon, binary search math, , 1100, x14605, 
1462F, The Treasure of The Segments, binary search data structures greedy, , 1800, x3959, 
1462E2, Close Tuples (hard version), binary search combinatorics implementation math sortings two pointers, , 1700, x5266, 
1462E1, Close Tuples (easy version), binary search combinatorics math sortings two pointers, , 1500, x7705, 
1462D, Add to Neighbour and Remove, greedy math number theory, , 1400, x9609, 
1462C, Unique Number, brute force greedy math, , 900, x17685, 
1462B, Last Year's Substring, dp implementation strings, , 800, x18095, 
1462A, Favorite Sequence, implementation two pointers, , 800, x22151, 
1461F, Mathematical Expression, constructive algorithms dp greedy, , 2700, x316, 
1461E, Water Level, brute force graphs greedy implementation math, , 2200, x1572, 
1461D, Divide and Summarize, binary search brute force data structures divide and conquer implementation sortings, , 1600, x5727, 
1461C, Random Events, dp math probabilities, , 1500, x7127, 
1461B, Find the Spruce, brute force dp implementation, , 1400, x8547, 
1461A, String Generation, constructive algorithms greedy, , 800, x15095, 
1459B, Move and Turn, dp math, , 1300, x8536, 
1459A, Red-Blue Shuffle, math probabilities, , 800, x12863, 
1458F, Range Diameter Sum, data structures trees, , 3500, x53, 
1458E, Nim Shortcuts, data structures games, , 3100, x176, 
1458D, Flip and Reverse, data structures graphs greedy, , 3100, x318, 
1458C, Latin Square, math matrices, , 2700, x610, 
1458B, Glass Half Spilled, dp, , 2000, x2109, 
1458A, Row GCD, math number theory, , 1600, x7942, 
1456E, XOR-ranges, dp greedy, , 3500, x70, 
1455G, Forbidden Value, data structures dp, , 2900, x142, 
1455F, String and Operations, dp greedy, , 2800, x251, 
1455E, Four Points, brute force constructive algorithms flows geometry greedy implementation math ternary search, , 2400, x1023, 
1455D, Sequence and Swaps, dp greedy sortings, , 1600, x7795, 
1455C, Ping-pong, constructive algorithms games math, , 1100, x13961, 
1455B, Jumps, constructive algorithms math, , 1200, x13791, 
1455A, Strange Functions, math number theory, , 800, x19083, 
1454F, Array Partition, binary search data structures greedy two pointers, , 2100, x2432, 
1454E, Number of Simple Paths, combinatorics dfs and similar graphs trees, , 2000, x3547, 
1454D, Number into Sequence, constructive algorithms math number theory, , 1300, x11808, 
1454C, Sequence Transformation, greedy implementation, , 1200, x14019, 
1454B, Unique Bid Auction, implementation, , 800, x19547, 
1454A, Special Permutation, constructive algorithms probabilities, , 800, x24067, 
1453F, Even Harder, dp, , 2700, x424, 
1453E, Dog Snacks, binary search dfs and similar dp greedy trees, , 2300, x1375, 
1453D, Checkpoints, brute force constructive algorithms greedy math probabilities, , 1900, x3088, 
1453C, Triangles, greedy implementation, , 1700, x4596, 
1453B, Suffix Operations, constructive algorithms implementation, , 1400, x8816, 
1453A, Cancel the Trains, implementation, , 800, x16915, 
1452G, Game On Tree, data structures dfs and similar greedy trees, , 2700, x160, 
1452F, Divide Powers, constructive algorithms greedy, , 2900, x163, 
1452E, Two Editorials, brute force dp greedy sortings two pointers, , 2500, x1069, 
1452D, Radio Towers, combinatorics dp math, , 1600, x5435, 
1452C, Two Brackets, greedy, , 800, x14530, 
1452B, Toy Blocks, binary search greedy math sortings, , 1400, x9373, 
1452A, Robot Program, math, , 800, x17032, 
1451F, Nullify The Matrix, constructive algorithms games, , 2700, x523, 
1451E2, Bitwise Queries (Hard Version), bitmasks constructive algorithms interactive math, , 2300, x1855, 
1451E1, Bitwise Queries (Easy Version), bitmasks constructive algorithms interactive math, , 2000, x2825, 
1451D, Circle Game, games geometry math, , 1700, x6554, 
1451C, String Equality, dp greedy hashing implementation strings, , 1400, x9523, 
1451B, Non-Substring Subsequence, dp greedy implementation strings, , 900, x13936, 
1451A, Subtract or Divide, greedy math, , 800, x17521, 
1450H2, Multithreading (Hard Version), combinatorics implementation math, , 3300, x41, 
1450H1, Multithreading (Easy Version), combinatorics fft math, , 2900, x177, 
1450G, Communism, bitmasks dp trees, , 3500, x71, 
1450F, The Struggling Contestant, constructive algorithms greedy, , 2400, x934, 
1450E, Capitalism, constructive algorithms dfs and similar graphs shortest paths, , 2700, x548, 
1450D, Rating Compression, binary search data structures greedy implementation two pointers, , 1800, x3798, 
1450C2, Errich-Tac-Toe (Hard Version), constructive algorithms math, , 2300, x2331, 
1450C1, Errich-Tac-Toe (Easy Version), constructive algorithms math, , 2100, x3943, 
1450B, Balls of Steel, brute force geometry greedy, , 1000, x11018, 
1450A, Avoid Trygub, constructive algorithms sortings, , 800, x14048, 
1447B, Numbers Box, greedy math, , 1000, x10001, 
1447A, Add Candies, constructive algorithms math, , 800, x11097, 
1446F, Line Distance, binary search data structures geometry, , 3200, x114, 
1446E, Long Recovery, constructive algorithms dfs and similar, , 3500, x39, 
1446D2, Frequency Problem (Hard Version), data structures greedy two pointers, , 3000, x373, 
1446D1, Frequency Problem (Easy Version), data structures greedy, , 2600, x803, 
1446C, Xor Tree, binary search bitmasks data structures divide and conquer dp trees, , 2100, x2105, 
1446B, Catching Cheaters, dp strings, , 1800, x4853, 
1446A, Knapsack, constructive algorithms greedy sortings, , 1300, x9298, 
1445B, Elimination, greedy math, , 900, x11763, 
1445A, Array Rearrangment, greedy sortings, , 800, x14585, 
1444E, Finding the Vertex, brute force dfs and similar dp interactive trees, , 3500, x54, 
1444D, Rectangular Polyline, constructive algorithms dp geometry, , 2900, x248, 
1444C, Team-Building, data structures dfs and similar dsu graphs, , 2500, x892, 
1444B, Divide and Sum, combinatorics math sortings, , 1900, x4262, 
1444A, Division, brute force math number theory, , 1500, x7940, 
1443E, Long Permutation, brute force math two pointers, , 2400, x891, 
1443C, The Delivery Dilemma, binary search greedy sortings, , 1400, x8801, 
1443B, Saving the City, dp greedy math sortings, , 1300, x9976, 
1443A, Kids Seating, constructive algorithms math, , 800, x13513, 
1442F, Differentiating Games, games interactive, , 3400, x36, 
1442E, Black White and Grey Tree, binary search constructive algorithms dfs and similar dp greedy trees, , 3000, x213, 
1442D, Sum, data structures divide and conquer dp greedy, , 2800, x673, 
1442C, Graph Transpositions, dfs and similar graphs greedy shortest paths, , 2400, x1027, 
1442B, Identify the Operations, combinatorics data structures dsu greedy implementation, , 1800, x3018, 
1442A, Extreme Subtraction, constructive algorithms dp greedy, , 1800, x5739, 
1440B, Sum of Medians, greedy math, , 900, x12258, 
1440A, Buy the String, implementation math, , 800, x15191, 
1439E, Cheat and Win, bitmasks data structures games trees, , 3500, x57, 
1439D, INOI Final Contests, combinatorics dp fft, , 3100, x136, 
1439C, Greedy Shopping, binary search data structures divide and conquer greedy implementation, , 2600, x1035, 
1439B, Graph Subset Problem, constructive algorithms data structures graphs, , 2600, x885, 
1439A2, Binary Table (Hard Version), constructive algorithms graphs greedy implementation, , 1900, x3660, 
1439A1, Binary Table (Easy Version), constructive algorithms implementation, , 1500, x6735, 
1438F, Olha and Igor, interactive probabilities trees, , 3000, x250, 
1438E, Yurii Can Do Everything, binary search bitmasks brute force constructive algorithms divide and conquer two pointers, , 2500, x792, 
1438D, Powerful Ksenia, bitmasks constructive algorithms math, , 2200, x2708, 
1438C, Engineer Artem, 2-sat chinese remainder theorem constructive algorithms fft flows, , 2000, x6685, 
1438B, Valerii Against Everyone, constructive algorithms data structures greedy sortings, , 1000, x12189, 
1438A, Specific Tastes of Andre, constructive algorithms implementation, , 800, x15190, 
1437G, Death DBMS, data structures string suffix structures strings trees, , 2600, x483, 
1437F, Emotional Fishermen, combinatorics dp math two pointers, , 2600, x597, 
1437E, Make It Increasing, binary search constructive algorithms data structures dp implementation, , 2200, x2317, 
1437D, Minimal Height Tree, graphs greedy shortest paths trees, , 1600, x7477, 
1437C, Chef Monocarp, dp flows graph matchings greedy math sortings, , 1800, x6473, 
1437B, Reverse Binary Strings, constructive algorithms greedy, , 1200, x12625, 
1437A, Marketing Scheme, brute force constructive algorithms greedy math, , 800, x15063, 
1436F, Sum Over Subsets, combinatorics math number theory, , 2800, x250, 
1436E, Complicated Computations, binary search data structures two pointers, , 2400, x1213, 
1436D, Bandit in a City, binary search dfs and similar graphs greedy trees, , 1900, x3963, 
1436C, Binary Search, binary search combinatorics, , 1500, x7185, 
1436B, Prime Square, constructive algorithms math, , 900, x14502, 
1436A, Reorder, math, , 800, x17364, 
1434E, A Convex Game, dsu games, , 3500, x57, 
1433G, Reducing Delivery Cost, brute force graphs shortest paths, , 2100, x2641, 
1433F, Zero Remainder Sum, dp, , 2100, x3790, 
1433E, Two Round Dances, combinatorics math, , 1300, x11893, 
1433D, Districts Connection, constructive algorithms dfs and similar, , 1200, x13437, 
1433C, Dominant Piranha, constructive algorithms greedy, , 900, x17900, 
1433B, Yet Another Bookshelf, greedy implementation, , 800, x20607, 
1433A, Boring Apartments, implementation math, , 800, x25273, 
1431J, Zero-XOR Array, *special problem dp, , 3400, x11, 
1431I, Cyclic Shifts, *special problem strings, , 2900, x20, 
1431H, Rogue-like Game, *special problem brute force greedy two pointers, , 2600, x48, 
1431G, Number Deletion Game, *special problem dp games greedy, , 2100, x102, 
1431F, Neural Network Problem, *special problem binary search greedy, , 2100, x123, 
1431E, Chess Match, *special problem, , 2000, x182, 
1431D, Used Markers, *special problem greedy, , 1500, x318, 
1431C, Black Friday, *special problem implementation, , 1600, x486, 
1431B, Polycarp and the Language of Gods, *special problem implementation two pointers, , 1400, x621, 
1431A, Selling Hamburgers, *special problem, , 800, x959, 
1430G, Yet Another DAG Problem, bitmasks dfs and similar dp flows graphs math, , 2600, x308, 
1430F, Realistic Gameplay, dp greedy, , 2600, x553, 
1430E, String Reversal, data structures greedy strings, , 1900, x3890, 
1430D, String Deletion, binary search data structures greedy two pointers, , 1700, x6290, 
1430C, Numbers on Whiteboard, constructive algorithms data structures greedy implementation math, , 1000, x13082, 
1430B, Barrels, greedy implementation sortings, , 800, x14805, 
1430A, Number of Apartments, brute force constructive algorithms math, , 900, x14929, 
1428H, Rotary Laser Lock, binary search interactive, , 3500, x26, 
1428G2, Lucky Numbers (Hard Version), dp greedy, , 3000, x291, 
1428G1, Lucky Numbers (Easy Version), dp greedy, , 2900, x278, 
1428F, Fruit Sequences, binary search data structures divide and conquer dp two pointers, , 2400, x1439, 
1428E, Carrots for Rabbits, binary search data structures greedy math sortings, , 2200, x2564, 
1428D, Bouncing Boomerangs, constructive algorithms greedy implementation, , 1900, x3439, 
1428C, ABBB, brute force data structures greedy strings, , 1100, x12121, 
1428B, Belted Rooms, graphs implementation, , 1200, x10353, 
1428A, Box is Pull, math, , 800, x13580, 
1427H, Prison Break, binary search games geometry ternary search, , 3500, x26, 
1427G, One Billion Shades of Grey, flows graphs, , 3300, x93, 
1427F, Boring Card Game, data structures greedy trees, , 3200, x87, 
1427E, Xum, bitmasks constructive algorithms math matrices number theory, , 2500, x787, 
1427D, Unshuffling a Deck, constructive algorithms implementation, , 2000, x2644, 
1427C, The Hard Work of Paparazzi, dp, , 2000, x3842, 
1427B, Chess Cheater, greedy implementation sortings, , 1400, x7594, 
1427A, Avoiding Zero, math sortings, , 900, x12185, 
1426F, Number of Subsequences, combinatorics dp strings, , 2000, x3096, 
1426E, Rock Paper Scissors, brute force constructive algorithms flows greedy math, , 1800, x5055, 
1426D, Non-zero Segments, constructive algorithms data structures greedy sortings, , 1500, x9058, 
1426C, Increase and Copy, binary search constructive algorithms math, , 1100, x13023, 
1426B, Symmetric Matrix, implementation, , 900, x15217, 
1426A, Floor Number, implementation math, , 800, x22390, 
1425I, Impressive Harvesting of The Orchard, data structures, , 2800, x125, 
1425H, Huge Boxes of Animal Toys, constructive algorithms, , 1300, x2592, 
1425F, Flamingoes of Mystery, interactive, , 1400, x2486, 
1425E, Excitation of Atoms, greedy implementation, , 2200, x664, 
1425D, Danger of Mad Snakes, combinatorics dp math, , 2300, x549, 
1425C, Captain of Knights, math, , 3100, x17, 
1425B, Blue and Red of Our Faculty!, divide and conquer dp, , 2600, x165, 
1425A, Arena of Greed, games greedy, , 1400, x3395, 
1424M, Ancient Language, graphs sortings, , 2200, x365, 
1424G, Years, data structures sortings, , 1300, x2541, 
1423N, BubbleSquare Tokens, , , 3500, x36, 
1423M, Milutin's Plums, interactive, , 2800, x76, 
1423L, Light switches, meet-in-the-middle, , 2600, x217, 
1423K, Lonely Numbers, binary search math number theory two pointers, , 1600, x2416, 
1423J, Bubble Cup hypothesis, bitmasks constructive algorithms dp math, , 2400, x492, 
1423I, Lookup Tables, bitmasks, , 3000, x47, 
1423H, Virus, data structures divide and conquer dsu graphs, , 2500, x286, 
1423G, Growing flowers, data structures, , 3500, x26, 
1423F, Coins, math, , 2700, x168, 
1423E, 5G Antenna Towers, geometry, , 2700, x35, 
1423D, Does anyone else hate the wind?, , , 3100, x11, 
1423C, Dušan's Railway, divide and conquer graphs trees, , 3500, x30, 
1423B, Valuable Paper, binary search flows graph matchings graphs, , 1900, x1192, 
1423A, Wakanda Forever, , , 3500, x26, 
1422F, Boring Queries, data structures math number theory, , 2700, x377, 
1422E, Minlexes, dp greedy implementation strings, , 2700, x517, 
1422D, Returning Home, graphs shortest paths sortings, , 2300, x1881, 
1422C, Bargain, combinatorics dp math, , 1700, x5543, 
1422B, Nice Matrix, greedy implementation math, , 1300, x10051, 
1422A, Fence, geometry math, , 800, x16112, 
1421E, Swedish Heroes, brute force dp implementation, , 2700, x448, 
1421D, Hexagons, brute force constructive algorithms greedy implementation math shortest paths, , 1900, x3256, 
1421C, Palindromifier, constructive algorithms strings, , 1400, x8421, 
1421B, Putting Bricks in the Wall, constructive algorithms implementation, , 1100, x10252, 
1421A, XORwice, bitmasks greedy math, , 800, x15705, 
1420E, Battle Lemmings, dp greedy, , 2500, x558, 
1420D, Rescue Nibel!, combinatorics data structures sortings, , 1800, x4983, 
1420C2, Pokémon Army (hard version), data structures divide and conquer dp greedy implementation, , 2100, x3256, 
1420C1, Pokémon Army (easy version), constructive algorithms dp greedy, , 1300, x11179, 
1420B, Rock and Lever, bitmasks math, , 1200, x13300, 
1420A, Cubes Sorting, math sortings, , 900, x16521, 
1419F, Rain of Fire, binary search data structures dfs and similar dsu graphs implementation, , 2800, x318, 
1419E, Decryption, constructive algorithms implementation math number theory, , 2100, x2439, 
1419D2, Sage's Birthday (hard version), binary search brute force constructive algorithms greedy sortings two pointers, , 1500, x9502, 
1419D1, Sage's Birthday (easy version), binary search constructive algorithms greedy sortings, , 1000, x14360, 
1419C, Killjoy, greedy implementation math, , 1500, x10060, 
1419B, Stairs, brute force constructive algorithms greedy implementation math, , 1200, x12009, 
1419A, Digit Game, games greedy implementation, , 900, x14883, 
1418G, Three Occurrences, data structures divide and conquer hashing two pointers, , 2500, x770, 
1418F, Equal Product, data structures math number theory two pointers, , 3000, x192, 
1418E, Expected Damage, binary search combinatorics probabilities, , 2400, x1177, 
1418D, Trash Problem, data structures implementation, , 2100, x3153, 
1418C, Mortal Kombat Tower, dp graphs greedy shortest paths, , 1500, x9739, 
1418B, Negative Prefixes, greedy sortings, , 1300, x11723, 
1418A, Buying Torches, math, , 1000, x14934, 
1417B, Two Arrays, greedy math sortings, , 1100, x10570, 
1417A, Copy-paste, greedy math, , 800, x14707, 
1416F, Showing Off, flows graph matchings greedy implementation, , 3300, x86, 
1416E, Split, binary search data structures dp greedy, , 3200, x106, 
1416D, Graph and Queries, data structures dsu graphs implementation trees, , 2600, x961, 
1416C, XOR Inverse, bitmasks data structures divide and conquer dp greedy math sortings strings trees, , 2000, x2445, 
1416B, Make Them Equal, constructive algorithms greedy math, , 2000, x4032, 
1416A, k-Amazing Numbers, binary search data structures implementation two pointers, , 1500, x7827, 
1415F, Cakes for Clones, dp, , 2900, x226, 
1415E, New Game Plus!, constructive algorithms greedy math, , 2200, x1663, 
